Ticker,Name,Recommendation Score
DSM,Dreyfus Strategic Municipal Bon,1.10
DSU,"Blackrock Debt Strategies Fund,",1.30
DSX,Diana Shipping inc.,0.60
DTE,DTE Energy Company,1.12
DTF,"DTF Tax-Free Income, Inc.",0.10
DUK,Duke Energy Corporation (Holdin,1.69
DV,"DoubleVerify Holdings, Inc.",1.21
DVA,DaVita Inc.,1.30
DVN,Devon Energy Corporation,1.80
DX,"Dynex Capital, Inc.",0.65
DY,"Dycom Industries, Inc.",1.07
E,ENI S.p.A.,0.83
EARN,Ellington Credit Company,0.25
EAT,"Brinker International, Inc.",1.47
EBF,"Ennis, Inc.",1.62
EBR,Centrais Electricas Brasileiras,1.13
EC,Ecopetrol S.A.,1.72
ECL,Ecolab Inc.,1.23
ED,"Consolidated Edison, Inc.",0.91
EDN,Empresa Distribuidora Y Comerci,1.05
EDU,New Oriental Education & Techno,0.96
EE,"Excelerate Energy, Inc.",1.20
EFC,Ellington Financial Inc.,0.84
EFT,Eaton Vance Floating Rate Incom,1.42
EFX,"Equifax, Inc.",0.98
EGO,Eldorado Gold Corporation,1.32
EGP,"EastGroup Properties, Inc.",0.62
EGY,"VAALCO Energy, Inc.",3.79
EHI,Western Asset Global High Incom,1.36
EIG,Employers Holdings Inc,1.35
EIX,Edison International,1.93
ELA,Envela Corporation,1.29
ELP,Companhia Paranaense de Energia,1.16
ELS,"Equity Lifestyle Properties, In",1.07
EMD,Western Asset Emerging Markets ,1.31
EME,"EMCOR Group, Inc.",1.46
EMN,Eastman Chemical Company,1.95
EMR,Emerson Electric Company,0.62
ENB,Enbridge Inc,0.86
ENR,"Energizer Holdings, Inc.",1.01
ENS,EnerSys,1.77
EOG,"EOG Resources, Inc.",1.95
EOI,Eaton Vance Enhance Equity Inco,0.57
EOS,Eaton Vance Enhance Equity Inco,0.76
EPAM,"EPAM Systems, Inc.",1.47
EPD,Enterprise Products Partners L.,1.38
EPR,EPR Properties,1.49
EQR,Equity Residential,0.73
EQT,EQT Corporation,1.71
ERJ,Embraer S.A.,0.86
ESE,ESCO Technologies Inc.,0.77
ESI,Element Solutions Inc.,0.86
ESS,"Essex Property Trust, Inc.",0.77
